Entity,Code,Year,liver_cancer,kidney_cancer,lip_and_oral_cavity_cancer,lung_cancer,larynx_cancer,gallbladder_and_biliary_tract_cancer,malignant_skin_melanoma,leukemia,hodgkin_lymphoma,multiple_myeloma,other_neoplasms,breast_cancer,prostate_cancer,thyroid_cancer,stomach_cancer,bladder_cancer,uterine_cancer,ovarian_cancer,cervical_cancer,brain_and_central_nervous_system_cancer,non-hodgkin_lymphoma,pancreatic_cancer,esophageal_cancer,testicular_cancer,nasopharynx_cancer,other_pharynx_cancer,colon_and_rectum_cancer,non-melanoma_skin_cancer,mesothelioma
United Kingdom,GBR,2009,3704,4140,1926,39014,874,1001,2267,5213,354,3161,1772,14278,12678,422,7224,5935,1823,5084,1619,4027,5376,9712,8762,92,255,775,20686,692,2341
United Kingdom,GBR,2010,3926,4227,1939,38728,868,1022,2306,5251,354,3211,1824,14259,12944,427,7158,6002,1881,4907,1616,4072,5386,9871,8820,91,256,795,20737,725,2400
United Kingdom,GBR,2011,4158,4302,1994,38916,871,1042,2343,5296,353,3273,1889,14261,13289,431,7070,6120,1926,4938,1620,4110,5431,10039,8871,89,258,821,20900,772,2458
United Kingdom,GBR,2012,4407,4404,2043,39309,877,1074,2393,5379,355,3346,1961,14409,13522,443,7090,6282,2003,5020,1625,4183,5523,10353,9005,87,260,850,21357,814,2524
United Kingdom,GBR,2013,4624,4503,2105,39922,893,1102,2478,5428,357,3419,2020,14469,13739,454,7117,6412,2060,5071,1627,4237,5623,10659,9152,87,264,882,21797,853,2581
United Kingdom,GBR,2014,4805,4576,2124,40023,894,1129,2523,5431,362,3500,2068,14438,14071,458,7052,6503,2108,5105,1627,4303,5678,10828,9208,86,267,905,21863,903,2640
United Kingdom,GBR,2015,4989,4683,2168,40362,912,1164,2586,5519,366,3590,2122,14640,14461,471,7125,6654,2184,5053,1644,4383,5822,11154,9388,87,270,936,22329,950,2682
United Kingdom,GBR,2016,5113,4750,2159,40628,919,1189,2609,5568,367,3651,2154,14744,14695,475,7157,6734,2233,5112,1654,4448,5897,11359,9494,87,269,962,22547,1022,2707
United Kingdom,GBR,2017,5173,4788,2170,40858,923,1196,2633,5616,371,3711,2178,14774,15043,480,7187,6847,2257,5148,1661,4495,5953,11485,9579,89,270,972,22815,1043,2749
United Kingdom,GBR,2018,5149,4924,2195,42093,948,1213,2696,5766,376,3812,2232,15103,15556,492,7432,7073,2286,5262,1683,4553,6126,11842,9862,91,275,976,23717,1031,2791
United Kingdom,GBR,2019,5155,5018,2196,42837,962,1223,2736,5857,380,3894,2277,15256,15968,499,7548,7220,2302,5350,1692,4600,6224,12071,10037,93,277,982,24220,1036,2821
